Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,31.0,54.0,Top,0.0
C10,18.0,59.0,Top,270.0
C2,29.0,38.0,Top,180.0
C3,27.0,21.0,Top,180.0
C4,4.0,44.0,Top,270.0
C5,30.0,43.0,Top,0.0
C6,31.0,60.0,Top,0.0
C7,27.0,35.025,Top,90.0
C8,14.28,14.0,Top,180.0
C9,36.5,79.0,Top,90.0
C_RFI1,13.0,87.0,Top,0.0
C_RFI2,25.0,87.0,Top,0.0
C_U3,14.0,52.0,Top,0.0
Cp1,22.0,55.5,Top,0.0
Cp2,23.1,60.5,Top,180.0
Cp3,31.0,49.0,Top,0.0
Cres1,29.0,67.0,Top,0.0
D1,22.0,52.0,Top,180.0
D2,27.0,49.0,Top,180.0
DZ1,32.0,65.5,Top,270.0
L1,32.0,78.5,Top,0.0
R1,12.0,80.0,Top,270.0
R2,12.0,83.0,Top,270.0
R3,7.51,29.7,Top,0.0
R4,7.51,40.8,Top,180.0
R5,7.51,48.0,Top,0.0
R6,25.0,27.0,Top,90.0
R7,27.0,27.0,Top,270.0
R_BIAS1,8.4625,27.5,Top,180.0
R_GBIAS1,29.0,9.0,Top,0.0
R_GBIAS2,26.0375,14.0,Top,180.0
R_OSC1,16.0,56.0,Top,270.0
R_RFI1,10.0,86.0,Top,270.0
R_RFI2,22.0,86.0,Top,270.0
R_ZEN1,29.61,33.5,Top,180.0
U1,17.5,27.0,Top,0.0
U2,23.0,44.0,Top,0.0
U3,8.0,55.0,Top,270.0
Z_OSC1,30.75,28.5,Top,180.0
